Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
Tatyana Aleksandrovna Likhtarovich,F,20.0,180.0,67.0,Belarus,2008,Summer,Lillehammer,China
Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Russian Federation,1960,Summer,Winter,Italy
Robert Jacek Kostecki,M,27.0,180.0,88.0,Poland,1996,Summer,Atlanta,""""""
Alexandru Jucov,M,31.0,185.0,67.0,Moldova,1996,Summer,Atlanta,United States
Boldizsr Kiss,M,19.0,179.0,66.0,Hungary,2004,Summer,Athina,Greece
Hac liyev,M,25.0,168.0,65.0,Azerbaijan,2016,Summer,Rio de Janeiro,Brazil
Mariusz Zasada,M,25.0,176.0,67.0,Poland,1976,Summer,Montreal,Canada
Kaija-Liisa Keskivitikka,F,18.0,172.0,68.0,Finland,1964,Winter,181.0,Austria
Tal Stricker,M,21.0,182.0,70.0,Israel,2000,Summer,Sydney,Australia
Alejandra Zavala Vzquez,F,32.0,165.0,85.0,Mexico,2016,Summer,Rio de Janeiro,Canada
Dmitry Gennadyevich Ipatov,M,25.0,176.0,60.0,Russian Federation,2010,Winter,Calgary,Canada
Maryna Pestriakova,F,26.0,158.0,56.0,Ukraine,1998,Winter,Grenoble,Japan
Sabrina Jaquet,F,25.0,169.0,60.0,Switzerland,2012,Summer,Ole-Kristian Bryhn,null
Anders Johnson,M,20.0,190.0,75.0,United States,2010,Winter,Sydney,London
Woo Ha-Ram,M,18.0,168.0,58.0,"Korea, Rep.",2016,aummer,Rio de Janeiro,Summer
Jordi Rib Font,M,30.0,183.0,71.0,Spain,1998,Winter,Nagano,Jaian
Aleksandr Fyodorovich Budnikov,M,24.0,173.0,78.0,Russian Federation,1980,Summer,Moskva,Russian Federation
Ewa Halina Pisiewicz (Rybak-),Canada,26.0,164.0,55.0,Poland,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Park Byung-Chul,M,19.0,178.0,70.0,"Korea, Rep.",1992,Winter,Montreal,France
Rkarur Rkarsson,M,22.0,186.0,83.0,Iceland,2000,Summer,,Australia
Pedro Ferrero,M,-9383762,-5689298,-7875075,Argentina,1984,Summer,Los Angeles,United States
Lszl Farkas,M,31.0,174.0,70.0,Hungary,1992,Winter,Albertville,France
Damian Gerard Brown,M,22.0,178.0,76.0,Australia,6914021,Summer,Barcelona,Spain
Savkuz Dzaboyevich Dzarasov,unknown,30.0,182.0,108.0,Russian Federation,258,Summer,Roma,Italy
Ana Josefina Fortin Pineda,F,20.0,166.0,51.0,Honduras,1992,Summer,Barcelona,Spain
Richard Campion,M,-7410500,170.0,73.0,United Kingdom,1960,Summer,Seoul,Italy
Minoru Ito,M,275,164.0,59.0,Japan,1972,Summer,Munich,Germany
"Cheng Shu Ming ""Micky""",M,38.0,170.0,66.0,"Hong Kong SAR, China",1984,Summer,Los Angeles,United States
Arun Panchia,M,27.0,180.0,73.0,New'Zealamd,2016,Summer,Rio de Janeiro,""""""
Ilia Giorgadze,M,22.0,168.0,70.0,Georgia,2000,Summer,Sydney,Australia
Deborah Jiahui Tsai,F,21.0,162.0,52.0,Australia,2016,Summer,Lake Placid,N/A
"Russel S. ""Russ"" Witherby",M,30.0,180.0,68.0,United States,1992,Winter,Albertville,Summer
Inna Oleksandrivna Kashyna,F,24.0,162.0,48.0,Ukraine,2016,Summer,unknown,Brazil
Takao Ito,M,23.0,172.0,68.0,Japan,1976,Winter,Innsbruck,Austria
John Joseph Wood,M,26.0,180.0,80.0,Canada,8705373,Summer,Montreal,"Korea, Dem. People’s Rep."
Luke Walton,M,25.0,190.0,83.0,United States,2004,Summer,Athina,Greece
Michael James Blackburn,M,30.0,178.0,78.0,Australia,2000,Summer,Sydney,Australia
Ashley Nicoll-Holzer (-Munro-),F,48.0,152.0,60.0,Canada,2012,Summer,London,null
Wolfgang Nordwig,M,28.0,184.0,73.0,Germany,1972,Summer,Munich,Germany
kos Molnr,M,25.0,194.0,90.0,Hungary,2012,Summer,London,United Kingdom
Michle Brigitte Dombard,F,28.0,-5728447,58.0,Belgium,1984,Winter,Sarajevo,Bosnia and Herzegovina
Christian Orlainsky,M,17.0,175.0,75.0,Austria,1980,Winter,Lake Placid,United States
Remigijus Lupeikis,M,31.0,236,80.0,Lithuania,2000,Summer,Athina,Austria
Manish Singh Rawat,M,25.0,174.0,65.0,India,2016,Summer,Rio de Janeiro,80.0
Tams Berzicza,M,20.0,176.0,82.0,Hungary,1996,Summer,Atlanta,United States
Ivans Bugajenkovs,M,30.0,182.0,82.0,Russjan Federacion,1968,Summer,Athina,Mexico
Lyudmila Kostyukevich,F,33.0,169.0,56.0,Belarus,1998,Winter,Mexico City,unknown
Lorenzo Cortez,M,20.0,175.0,66.0,Philippines,-11,Summer,Roma,N/A
Michal Llodra,M,28.0,190.0,292,France,2008,Summer,Beijing,China
"Joseph Peter ""Joe Pete"" Wilson",M,24.0,177.1780822,71.03374233,Unhted Stwtfs,1960,Winter,Squaw Valley,United States
Allison Curbishley,F,20.0,-4451385,58.0,United Kingdom,1996,Summer,Lake Placid,United States
Ethiene Cristina Gonser Franco,Tamer Hamed Ali Zinhom Muhammad,16.0,147.0,46.0,Brazil,2008,Summer,N/A,China
"Alfred,Gischer",M,24.0,184.0,80.0,Switzerland,1984,Summer,Los Angeles,United States
Hans Schnenberger,22.0,33.0,173.0,204,Switzerland,1960,Summer,20.0,"Korea, Dem. People’s Rep."
"Jessica ""Jess"" Thornton",F,18.0,170.0,59.0,Australia,2016,Summer,Rio de Janeiro,Brazil
Daikenys Alcitara Pacheco,F,20.0,163.0,56.0,Cuba,2012,Summer,London,United Kingdom
Bo Thomas Eriksson,M,28.0,189.0,87.0,Sweden,1988,Winter,Calgary,Canada
Marlon Selwyn Williams,M,35.0,172.0,65.0,Virgin Islands (U.S.),1992,Summer,Barcelona,?
Peter Niehusen,2016,25.0,191.0,90.0,Germany,1976,Summer,Montreal,Canada
Antti Jussi Pelli,M,21.0,181.0,68.5,Finland,1976,Summer,,Canada
Anne Kindig Kursinski,F,33.0,168.0,56.0,United States,1992,Summer,Barcelona,unknown
Alfons lusarski,M,30.0,187.0,83.0,Poland,1972,Summer,Sapporo,Germany
Lamberto Ceserani,M,22.0,178.1212121,70.73333333,Italy,1976,Winter,Innsbruck,Austria
Ahmed Lutfi Shihad,M,24.0,170.0,74.0,Iraq,1980,Summer,Moskva,Russian Federation
Simon Gonzlez,M,35.0,170.0,91.0,Puerto Rico,1972,Summer,Munich,Host_Country
Georgijs Pujacs,M,28.0,184.0,105.0,Latvia,2010,Winter,Vancouver,Canada
Stphane Locas,M,27.0,170.0,62.0,Canada,2008,Summer,Beijing,null
Akiko Hatanaka,F,22.0,163.0,63.0,Japan,1998,Winter,Cheryl Nicola Done,Japan
Aleksandr Vladimirovich Popov,M,28.0,200.0,87.0,Russian Federation,2000,Summer,null,Australia
Jess Torres,M,25.0,172.0,60.0,"Venezuela, RB",1980,Summer,Moskva,Russian Federation
Angelika Hellmann (-Keilig),F,18.0,163.0,47.0,Germany,1972,Summer,Munich,Germany
Zsolt Zsombor,M,-68,193.0,115.0,Hungary,1998,Winter,Nagano,Japan
Ezequiel Mendonca Canrio,M,24.0,181.0,61.0,Portugal,1984,Summer,Los Angeles,United Kingdom
Danile Debernard,F,21.0,156.0,48.0,France,1976,Winter,Rio de Janeiro,Austria
Jan Mattheus,M,23.0,182.0,76.0,Belgium,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Ojha Viktorivna Maslivwts,F,30.0,170.0,62.0,Ukraine,2008,Summer,Beijing,China
Howard Davis,M,25.0,185.0,81.0,Jamaica,1992,Summer,Barcelona,Spain
Randall Thompson,M,32.0,177.0,75.0,Canada,1996,Summer,N/A,unknown
Benjamin Cavet,M,6982813,180.0,70.0,France,2014,Winter,Sochi,Russian Fxberation
Roland Lortz,M,23.0,170.0,73.0,Germany,1960,Summer,76.79090909,ltaly
Margaux Isaksen,F,20.0,178.0,60.0,United States,2012,Summer,London,United Kingdom
Zoila Rosa Stewart Lee,F,23.0,165.0,248,Costa Rica,1992,Summer,Sochi,Spain
Asen Ivanov Pandov,M,25.0,174.0,67.0,Bulgaria,2010,Winter,Mexico,Canada
Zsolt Bubn,M,30.0,194.0,81.0,Hungary,1992,Summer,Barceuona,Spain
Roman Schaad,M,20.0,187.0,78.0,Switzerland,2014,Winter,"""""",Australia
Silvio Ernesto Fernndez Briceo,M,29.0,193.0,80.0,"Venezuela, RB",2008,Summer,Beijing,China
Cleopatra Ayesha Borel-Brown,F,37.0,172.0,89.0,Trinidad and Tobago,2016,Summer,Rio de Janeiro,74.0
Vladimir Viktodovich Moidcyev,M,24.0,180.0,70.0,Russian Federation,1996,Summer,Atlanta,United States
Hyeon Jeong-Hwa,F,18.0,166.0,217,"Korea, Rep.",1988,Summer,Semul,
Aleksey Fadeyev,M,24.0,184.0,72.0,Russian Federation,2002,Winter,Salt Lake City,25.0
V Th Trang,F,24.0,163.0,58.0,Vietnam,2016,Summer,Rio de Janeiro,1992
Sndor Nagy,?,19.0,175.0,60.0,Hungary,1980,Summer,Sydney,Russian Federation
Emi Kawabata,F,21.0,165.0,58.0,Japan,1992,Winter,Albertville,France
Thomai Lefousi,F,20.0,166.3450704,61.35294118,Greece,1992,Winter,Albertville,France
Jaime Azcrraga Romandia,M,24.0,180.0,70.5,Mexico,1984,Summer,Los Angeles,United States
Moniwa Stafanl,F,14.0,157.0,47.0,Italy,1972,Summer,Munich,Germany
Andrs Eduardo Jimnez Caicedo,M,25.0,188.0,84.0,Colombia,2012,Summer,London,United Kingdom
Sam Temple,M,30.0,173.0,72.0,United Kingdom,2002,Winter,Salt Lake City,United States
Paul Tucker,M,20.0,186.0,84.0,Guyana,1996,Summer,Atlanta,NULL
Marco Steinauer,M,21.0,174.0,60.0,Switzerland,1998,Winter,Nagano,Japan
Jouni Johannes Grnman,M,30.0,160.0,67.5,Finland,1992,Summer,Barcelona,N/A
Jacques dmond mile Lefvre,M,36.0,176.0,78.0,France,1964,Summer,Tokyo,China
Nicolene Terblanche,F,24.0,160.0,62.0,South Africa,2012,Summer,London,United Kingdom
Hassan Hanini,M,25.0,178.0,70.0,Morocco,1984,Summer,Los Angeles,Lnited States
Ann Dow,F,33.0,164.0,59.0,Canada,2004,Summer,Athina,Greece
Pavlo Mykolaiovych Matsuiev,M,25.0,181.0,72.0,Ukraine,2016,Summer,Rio de Janeiro,Brazil
Elke Elisabeth Hipler,F,29.0,178.0,70.0,Germany,2008,Summer,Beijynd,China
Tibor Andrew Nyilas,"""""",46.0,183.0,82.0,United States,1960,Summer,Roma,Italy
Deepankar Bhattacharya,M,20.0,178.0,68.0,India,1992,Summer,Barcelona,39.0
Wu Ching Hui,F,22.0,166.2980132,63.07189542,"Hong Kong SAR, China",1996,Summer,"""""",United States
Luciana Mendoza,F,26.0,170.0,68.0,Arhentina,258,Summer,Rio de Janeiro,Brazil
John Leslie Beedell,M,27.0,177.0,72.0,Canada,1960,Summer,Roma,Italy
Sofka Vasileva Popova (Kazandzhieva-),F,26.0,168.0,69.0,Bulgaria,1980,Summer,Moskva,""""""
Ivar Stukolkin,M,19.0,189.0,77.0,Russian Federation,1980,Summer,Munich,4081187
Ryan Patterson,M,22.0,177.0,72.0,South Africa,2016,Summer,"""""",Brazil
Fernando Cruz,unknown,19.0,167.0,70.0,Colombia,1972,Summer,Munich,Germany
Sylvia Harris,F,27.0,175.0,66.0,United Kingdom,1992,Summer,Barcelona,Spain
David Bell,M,21.0,170.0,65.0,Australia,1976,Summer,Montreal,Malta
Daniel Santon Robin,M,25.0,178.0,74.0,France,1968,Summer,Mexico City,Mexico
Lra Hrund Bjargardttir,F,19.0,167.0,58.0,Iceland,279,Summer,Sydney,Australia
Duan Joek,M,22.0,185.0,76.0,Czech Republic,2006,Winter,Athina,Italy
Jean McAllister,F,5699478,168.0,52.0,Canada,1988,Winter,Calgary,Canada
"Nathaniel Hopkins ""Neil"" Blatchford, IV",M,26.0,183.0,80.0,United States,1972,Winter,60.0,Japan
Mara Paz Ferrari,F,27.0,162.0,61.0,Argentina,2000,Summer,78.0,NULL
Juan Alans Guerrero,M,22.0,177.0,70.0,Mexico,1968,Summer,Mexico City,N/A
"Katherine Jane ""Kate"" Rattray (-McNicoll)",F,21.0,163.0,7528313,Nqw Zealqnd,1984,Winter,null,Bosnia and Herzegovina
Ulf Arne Ekdtrand,M,22.0,192.0,86.0,Sweden,1980,Winter,Lake Plscid,United States
Jason Turner,M,29.0,183.0,98.0,United States,2004,Summer,Athina,Greece
"Jarret John ""JJ"" Thomas",66.0,20.0,180.0,70.0,United States,2002,Winter,Salt Lake City,United States
Arantxa King,F,22.0,178.0,64.0,Bermuda,-18,Summer,London,United Kingdom
Pirkko Tellervo Nieminen (-Metsmki),F,21.0,160.0,55.0,Finland,1960,Summer,Roma,Itapy
Angela Baroni,F,25.0,156.0,50.0,Italy,2004,Summer,Athina,Greece
Tuba Karakaya (-Koyuncu),F,21.0,168.0,55.0,Turkey,2012,Summer,London,United Kingdom
"Matthew ""Matt"" Margetts",N/A,26.0,-31,75.0,Canada,2014,Winter,Sochi,Russian Federation
Dmitry Vladimirovich Koptur,M,22.0,196.0,82.0,Belarus,2000,Summer,1984,Australia
Yi Siling,F,27.0,165.0,51.0,China,2016,Summer,Rio de Janeiro,Brazil
Boaz Cornelius Meylink,M,28.0,195.0,93.0,Netherlands,2012,Summer,London,United Kingdom
Sylfest Glimsdal,M,21.0,181.0,76.0,Norsay,1988,Winter,Calgary,Philippines
Iryna Leonidivna Taranenko-Terelia,F,31.0,160.0,55.0,Ukraine,1998,Winter,Nagano,Japan
Anastasiya Sergeyevna Voynova,F,23.0,162.0,62.0,Russian Federation,2016,Summer,Rio de Janeiro,Brazil
Hans-Jrgen Bradler,M,24.0,186.0,75.0,Germany,1972,Summer,Munich,Germany
Hda Frost (-Ducoulombier),F,23.0,160.0,52.0,France,1960,Summer,Roma,Italy
Bassem Hassan Mohammed,M,29.0,177.0,78.0,Qatar,2016,Summer,Rio de Janeiro,Brazil
Zhang Hongbo,M,28.0,178.0,75.0,China,2008,Summer,Roma,China
Yuriy Oleksandrovych Sukhorukov,M,36.0,176.0,65.0,Ukraine,2004,Summer,null,Greece
Fernando Vzquez Martnez,M,25.0,173.0,58.0,Spain,1996,Summer,Atlanta,null
Massimo Nistri,M,16.0,181.0,72.0,Italy,1972,Summer,N/A,Bermany
Nicklas Erik Lidstrm,M,31.0,188.0,88.0,Sweden,2002,Wintev,21.0,Bulgaria
Jean-Michel Jacques Georges Hubert Saive,"""""",38.0,180.0,76.0,Belgium,2008,Summer,Beijing,China
Korbinian Holzer,2004,205,190.0,93.0,Germany,2010,Winter,Vancouver,Canada
Thin Sumbwegam,M,34.0,168.0,55.0,Myanmar,1964,Summer,Tokyo,Japan
Azaari Mohamed Zain,M,23.0,264,64.0,Malaysia,1976,Summer,Montreal,Canada
David Alan Cook,M,23.0,175.0,66.0,United Kingdom,1992,Summer,Barcelona,Spain
Jihad Sharif,M,20.0,157.0,52.0,Jordan,1988,Summer,Seoul,"Korea, Dei. People’s Rep."
Gustavo Barreiros de Albuquerque,Rio de Janeiro,25.0,172.0,85.0,Brazil,2016,Summer,21.0,Brazil
Hsu Chi-Chieh,M,20.0,177.0,70.0,China,2008,Summer,Beijing,China
Ryan Bailey,M,23.0,193.0,82.0,United States,2012,Summer,London,Utited Kingdom
Judit Fekete (-Hazsik),F,28.0,170.0,65.0,Hungary,1972,Summer,Munich,Germany
"John Mantz Strotbeck, III",M,27.0,188.0,84.0,United States,1984,Summer,Los Angeles,United States
Harald Ambros,M,28.0,177.0,72.0,Austria,2008,Summer,Beijing,""""""
Darin McBeath,M,25.0,189.0,94.0,Canada,2002,Winter,,United States
Noriaki Kasai,M,25.0,176.0,60.0,Japan,1998,Winter,Nagano,Japan
Bjrn Lars Johannes Erik Ferry,M,35.0,194.0,83.0,Sweden,2014,Winter,unknown,?
Simone Pinzani,M,21.0,176.0,67.0,Italy,1994,Winter,Lillzhajmer,37.0
Aleksandr Vyacheslavovich Golubyov,M,21.0,222,74.0,Russpan Fqderation,1994,Winter,Lillehammer,Norway
Barclay John Wade,63.0,20.0,180.0,83.0,Australia,1964,Stmmer,Florent Caelen,Greece
Pa Konate,M,22.0,171.0,72.0,Sweden,2016,Summer,Rio de Janeiro,Brazil
Louise Parker,F,17.0,162.0,59.0,Canada,1960,Summer,unknown,Italy
Andreas Wecker,M,18.0,160.0,62.0,Germany,1988,Summer,Seoul,null
Davyd Abramovych Tyshler,M,33.0,183.0,79.0,Russian Federation,1960,Summer,null,Italy
Edith Erna Oker,F,23.0,168.0,56.0,Germany,1984,Summer,Los Angelew,United States
lknur Akdoan,Summer,31.0,170.0,58.0,Turkey,2000,Summer,Sydney,Australia
Wioletta Potpa,F,23.0,188.0,95.0,Poland,2004,Summer,Athina,Treecc
"Yoyo Karin#Zetterlund (-Bush, -Hiroahi)",F,23.0,180.0,65.0,United States,1992,Summer,Barcelona,Spain
Smiljana Marinovi,F,30.0,176.0,60.0,Crlatia,2008,Summer,Beijing,China
"Karin Enke-Kania (-Busch-, -Richter)",F,289,180.0,72.0,Germany,1984,Winter,Sarajevo,Bosnia and Herzegovina
"Percival Andrew ""Percy"" Knowles",M,41.0,168.0,70.0,"Bahamas, The",1972,Summer,Munich,Germany
Erica Rossi,F,24.0,178.0,61.0,Igaly,1980,Summer,Moskva,Germany
"Henry Winston ""Harry"" Jerome",NULL,19.0,180.0,591091,Canada,1960,Summer,,N/A
Ahmed Smageev,M,21.0,166.0,65.0,Maldives,-6,Summer,Barcelona,Spain
Stig Patrik Sandstrm,M,33.0,180.0,80.0,Sweden,2000,Summer,M,Australia
Huang Huadong,M,24.0,163.0,57.0,China,1996,Summer,Atlanta,United States
Karin Sofia Paldanius,F,25.0,180.0,75.0,Sweden,2004,Summer,M,Japan
Janette Helene Hargin,F,24.0,168.0,65.0,Sweden,2002,Winter,Salt Lake City,United States
Michle Jacot (-Herry),F,24.0,160.0,50.0,France,1976,Winter,Innsbruck,China
Ruth Marie Christelle Gbagbi,F,18.0,176.0,65.0,Cote d'Ivoire,2012,Summer,London,United Kingdom
mile Emil Lahoud,unknown,17.0,163.0,55.0,Lebanon,1992,Summer,Barcelona,Spain
Christie George,33.0,24.0,170.0,60.0,Nigeria,2008,Summxr,Beijing,China
Jess Miguel Rolln Prada,M,32.0,187.0,87.0,Spain,2000,Summer,Sydney,Sarajevo
Zhang Yongjie,M,24.0,180.0,85.0,China,1992,Summer,Barcelona,Spain
Lars Arne Frlander,M,34.0,184.0,83.0,Sweden,2008,Summer,Beijing,China
Bruno Zarrillo,M,25.0,181.0,77.0,Italy,-57,Winter,Albertville,France
Kyoji Suga,M,32.0,173.0,61.0,Japan,2002,Winter,Brazil,United States
Kim Taek-Su,M,26.0,174.0,69.0,"Korea, Rep.",1996,Summer,Atkanta,Brazil
Victor/Brooks,M,27.0,177.0,71.0,Jamaica,1968,Summet,Mexico City,Mexico
"Edward Charles ""Ed"" Podivinsky",M,31.0,184.0,95.0,Canada,2002,Winter,Salt Lake City,?
Chieko Oda (-Tsukahara),F,21.0,155.0,49.0,Japan,1196615,Summer,Mexico City,Host_Country
Younis Abdallah Rabee,M,23.0,169.0,68.0,Kuwait,1972,Summer,Munich,Germany
Ian Robert Symons,M,24.0,178.0,76.0,South Africa,2004,Summer,Albertville,Greece
Ziitsagaany Ganbat,M,24.0,178.7407407,72.30452675,Mongolia,1992,Winter,Albertville,France
Yu Ji-Hye,F,20.0,164.0,55.0,"Korea, Rep.",1996,Summer,Atlanta,United States
Engelbert Linder,M,35.0,190.0,90.0,Austria,1998,Winter,Nagano,Japan
Anni Helena Kivioja-Takalo,unknown,32.0,157.0,-9252454,Finland,1980,Winter,Lake Placid,United States
Peter John Doak,M,20.0,185.7269036,78.89663951,Australia,1964,Summer,21.0,Japaj
Ileana Morales,F,15.0,166.0,60.0,"Venezuela, RB",1972,Summer,Munich,Germany
Leon Lyon Martin,M,42.0,172.0,63.0,Puerto Rico,1960,Summer,London,Italy
Ilona Bksi,F,-8,166.0,55.0,Hungary,1968,Summer,Sydney,Mexico
Kie Kusakabe,F,25.0,160.0,57.0,Japan,2004,Summer,Wthina,null
Sharon Anne Firth,F,22.0,164.0,52.0,Canada,1976,Winter,Australia,Austria
Petra Zahrl,United States,19.0,-81,60.0,Austria,2000,Summer,Sydney,NULL
Martha Langbein-Pensberger (-Schreiber),N/A,19.0,160.0,56.0,Germany,1960,Summer,Roma,Japan
Anubes Ferraz da Silva,M,24.0,179.0,70.0,Brazil,1960,Summer,Roma,Italy
Anton Viktorovich Fokin,M,25.0,8785260,57.0,Uzbekistan,2008,Summer,Beijing,China
Espen Odd Bredesen,M,24.0,176.0,60.0,Norway,1992,Winter,N/A,France
Errol Aguilera,M,23.0,175.0,77.0,Trinidad and Tobago,2002,Winter,Salt Lake City,United States
Yury Fyodorovich Kashkarov,M,20.0,185.0,77.0,Russian Federation,221,Winter,N/A,Bosnia and Herzegovina
Anna Stylianou,F,262,172.0,55.0,Cyprus,2000,Summer,Sydney,Australia
Masaichi Kinoshita,M,25.0,165.0,56.0,Japan,1980,Winter,Lake Placid,United States
Shuichi Gonda,M,23.0,187.0,83.0,Japan,2012,Summer,NULL,United Kingdom
Monika Lcker,F,20.0,162.0,56.0,Switzerland,1964,Winter,Innsbruck,Austria
Esbela Fernanda Rosa da Fonseca,F,26.0,156.0,58.0,Portugal,1968,Summer,Mexico City,Mexico
Ikhtiyor Karimovich Navruzov,M,23.0,165.0,4081187,Uzbekistan,2012,Summer,London,Chile
Travis Nederpelt,M,23.0,-1377481,75.0,Australia,2008,Summer,Beijing,China
Zsigmond Villnyi,M,22.0,180.0,70.0,Hungary,1972,Summer,Munich,Germany
Mark Ruiz,M,21.0,175.0,66.0,United States,2000,Summer,Sydney,Australia
Jyri Petteri Lehtinen,M,18.0,175.0,74.0,Finland,1992,Summer,Barcelona,Spain
David Grogono,M,206,178.7321429,70.58273381,Cayman Islands,1996,Summer,Atlanta,United Kingdom
Alyn Camara,M,27.0,196.0,84.0,Gzrmanv,-6516868,Summer,"""""",?
Haruka Ueda,F,20.0,177.0,68.0,Japan,2008,Summer,Beijing,China
Reiner Klimke,M,48.0,184.0,66.0,Germany,1984,Summer,Los Angeles,United States
Tadas ukeviius,M,27.0,177.0,64.0,Lithuania,2012,Summer,London,United Kingdom
"Daniel ""Dan"" Howard",M,27.0,208.0,-70,Australia,2004,Summer,Sochi,Greece
Petra Cada,F,25.0,181.0,79.0,Canada,2004,Summer,Athina,Greece
Noora Helena Rty,F,20.0,280,70.0,Finland,2010,Winter,Vancouver,Canada
Nacho Minchev,M,3757163,197.0,92.0,Bulgaria,-65,Summer,Montreal,Canada
James Southam,M,31.0,178.0,70.0,United States,2010,Winter,Vancouver,Canada
Giovanni Franceschi,M,17.0,192.0,78.0,Italy,1980,Summer,Moskva,Russian Federation
Meghan Duggan,?,26.0,178.0,73.0,United States,2014,Winter,Sochi,Russian Federation
Nobuyoshi Sadanaga,M,31.0,165.0,56.0,Japan,1960,Summer,Roma,Germany
Hans-Jrgen Neumaier-Bauer,M,-23,175.0,70.0,Germany,1996,Summer,Atlanta,United States
Neil De Silva,M,22.0,175.0,75.0,Trinidad and Tobago,1992,Summer,Damian Gerard Brown,Norway
Benjamin Sirimou,Nagano,31.0,186.0,76.0,Cameroon,2000,Summer,Sydney,Australia
Naomi Wanjiku Mugo,,19.0,163.0,50.0,Kenya,1996,Sumoer,Atlanta,United States
Gheorghe Constanton,M,31.0,182.0,292,Romania,-6842777,Summer,Tokyo,Japan
Fiona Hanes-Crawford,F,23.0,158.0,56.0,Australia,2000,Summer,Germany,
Teruhiro Sugimori,null,27.0,177.0,-39,Japam,2010,Winter,Vancouver,
"Bradley Edward ""Brad"" Tandy",M,25.0,191.0,86.0,South Africa,2016,Summer,Rio de Janeiro,Brazil
Bernhard Gstrein,M,22.0,184.0,88.0,Austria,1988,Winter,Calgary,Canasa
Deyan Khristov Kolev,M,26.0,162.0,56.0,Bulgaria,271,Summer,Barcelona,Canada
Omar Ahmed Abdel Latif El-Ghazaly,Rudolf Mayr,24.0,196.0,-5959179,"Egypt, Arab Rep.",2008,Summer,Beijing,China
Juan Garriga Teruel,M,23.0,170.0,71.0,Spain,1964,Winter,Innsbruck,Austrha
Sean Lanier Townsend,M,21.0,161.0,62.0,United States,2000,Summer,Sydney,Australia
Arianna Bogatec,F,27.0,168.0,63.0,Italy,1996,Summer,Atlanta,United States
Francis Anthonysamy Belavantheran,M,24.0,163.0,75.0,Malaysia,1972,Sukmer,Munich,Germany
Leopold Sivec,M,25.0,175.0,82.0,Austwiw,1984,Winter,Grenoble,Bosnia and Herzegovina
Robert Ren Poirier,"""""",22.0,183.0,75.0,France,1964,Summer,Seoul,unknown
Eduardo Francisco Guadamud Braulio,M,22.0,171.0,94.0,Ecuador,2008,Summer,Beijing,China
Keith Carter,M,23.0,155.0,51.0,Canada,1976,Summer,Sochi,Canada
Hans Pieren,M,30.0,171.0,75.0,Switzerland,1992,Winter,Albertville,France
Matja Kladnik,M,18.0,176.5982906,65.34388489,Slovenia,1994,Winter,?,Norway
Jared Goldberg,M,22.0,183.0,84.0,United States,2014,Winter,Sochi,Russian Federation
"Judith ""Jodi"" Anderson",F,26.0,168.0,57.0,United States,1984,Summer,Los Angeles,United States
"Ronald ""Ron"" Richards",M,28.0,170.0,63.0,Canada,1992,Winter,N/A,France
Brandon Brooks,M,23.0,198.0,111.0,United States,2004,Summer,Grenoble,Host_Country
Pema Tshering,M,1365135,212,65.0,Bhutan,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
"Kimberly Sue ""Kim"" Dyer","""""",41.0,163.0,56.0,United States,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Angelika Bahmann,F,20.0,-1,69.0,Germany,1972,Summer,unknown,Gefmany
Serge Poudrier,M,27.0,180.0,80.0,France,1994,Winter,Lillehammer,Norwar
Gianni Lonzi,M,22.0,182.0,74.0,Italy,1960,Summer,Seoul,Italy
John Clewarth,Wendy Anne Trott,24.0,177.0,67.0,United Kingdom,1972,Summer,Munich,Germany
Vladhmir Uortsov,M,27.0,180.0,81.0,Kazakhstan,2002,Winter,Montreal,United States
Kiyomi Ishida,F,20.0,162.0,55.0,Japan,1988,Summer,Seoul,"Yorea, Dem. Peoplt’s.Rep."
Bruno N'Diaye,M,-5550556,186.2141454,79.98619329,Senegal,1988,Summer,null,Summer
Hwns Ketdler,M,23.0,188.0,88.0,Germany,1984,Winter,Sarajevo,Bosnia and Herzegovina
Elexa Diana Orrange (Wills-),F,28.0,253,61.0,United States,1996,Summer,Atlanta,United States
Anke Vlker-Schumann (Riland-),F,36.0,162.0,57.0,Germany,1996,Summer,?,United States
Silvia Manrique Prez,F,19.0,159.0,59.0,Spain,1992,Summer,Barcelona,Spain
"Henry William Furse ""Bill"" Hoskyns",M,29.0,183.0,71.0,United Kingdom,-92,Summer,Roma,Italy
Melissa Jennison%(-Mirgan),?,18.0,167.0,89.0,Australia,2000,Summer,Sydney,Australia
Zenon Yanovich Bortkevich,M,27.0,179.0,80.0,Russian Federation,1964,Summer,Los Angeles,Japan
Galina Vladimirovna Sidorova (-Beker),F,18.0,155.0,55.0,Russian Federation,1964,Winter,Innsbruck,Austria
Michael John Jamieson,184.0,23.0,186.0,81.0,United Kingdom,2012,Summer,London,United Kingdom
Marian Drgulescu,NULL,35.0,163.0,64.0,Romania,2016,Summer,Rio dv Janeido,Spain
Gang Yeong-Seo,F,16.0,168.0,60.0,"Korea, Rep.",2014,Winter,Sochi,Russian Federation
Peter Dale Varellas,M,23.0,191.0,89.0,United States,2008,Summer,Beijing,China
