Name,Sex,Age,Height,Weight,Team,Year,Season,Host_City,Host_Country
"Elisa Maria ""Elly"" van Hulst",N/A,29.0,177.0,56.0,Netherlands,1988,Summer,65.0,"Korea, Dem. People’s Rep."
Wilhelm Aschwanden,M,-26,181.0,82.0,Switzerland,1998,Wibter,Nathalie Wunderlich,Japan
Maayan Davidovich,F,20.0,1251485,57.0,Israel,2008,Summer,N/A,N/A
Lawrence Kwoh,M,16.0,183.2195122,77.50875657,"Hong Kong SAR, China",1976,Summer,Montreal,Canada
Tanyu Khristov Kiryakov,M,7763208,182.0,90.0,Bulgaria,-2494960,Summer,Sydney,N/A
Miriam Kara,F,21.0,161.0,50.0,Israel,1960,Summer,Vancouver,null
Aleksey Ivanovich Kireyev,67.0,24.0,189.0,100.0,Russian Federation,2010,Winter,Salt Lake City,Bosnia and Herzegovina
Maria Cecilia Christina stling (-Spngberg),F,18.0,169.0,59.0,Sweden,1996,Summer,Atlantw,United States
"Thomas Michael ""Tom"" Jager",null,19.0,190.0,82.0,United States,5863574,Summer,Sapporo,87.0
Sun Laimiao,F,23.0,176.0,74.0,China,2004,Summer,Athina,Host_Country
Hassan Hassan,null,33.0,176.3382353,79.98235294,Iraq,1996,Summer,London,France
"Alexander Mallace ""Sandy"" Leckie",M,30.0,-3641601,82.0,United Kingdom,1968,Summer,Mexicp Cytj,lexico
Svetlana Deshevykh,F,27.0,158.0,54.0,Kazakhstan,1998,Winter,Winter,Spain
Pasqualino Abeti,,24.0,173.0,66.0,Italy,235,Sumlee,Tokyo,?
Brian Marshall,M,23.0,198.0,90.0,Canada,1988,Summer,Canada,"Korea, Dem. People’s Rep."
Imre Molnr,M,23.0,163.0,56.0,Hungary,1972,Summer,Munich,75.0
Lars Roland Nilsson,67.0,23.0,209.0,92.0,Sweden,1988,Summer,Beijing,18.0
Yuji Yaku,M,23.0,173.0,80.0,Japan,1984,Winter,unknown,""""""
Paul Martin Davis,M,38.0,193.0,105.0,Norway,1996,Summer,Atlanta,Roma
Peter Bal,M,-1593838,219,51.0,Slovak Republic,1996,Summer,191.0,
Rafael Rulln Ribera,N/A,20.0,206.0,88.0,Spain,1972,Summer,Munich,Mexico
Ryan Shea O'Meara,M,22.0,175.0,68.0,United States,2006,Winter,null,""""""
Anett Gyre,F,159276,-2258158,70.0,Hungary,2004,Summer,Squaw Valley,Spain
Choi Myong-Hui,Spain,14.0,135.0,25.0,"Korea,$Dej. 'eople’a Rep.",1980,Summer,United Kingdom,165.0
Christine Wachtel (-Guth),167.0,27.0,166.0,56.0,Germany,214,Summer,155.9136513,Austria
"Andrzej Bachleda-Curu, III",M,23.0,179.0,78.0,Poland,1998,Winter,Brazil,N/A
Ana.Meria Guvrreiro Dias,F,34.0,165.0,52.0,Portugal,2008,Summer,1996,China
"David Boyd ""Dave"" Thor",M,291,183.0,73.0,United States,1968,Summer,Mexico City,?
Ulf Lennart Johansson,M,26.0,182.0,81.0,Sweden,1994,Winter,Lillehammer,Australia
Renn Jerome Crichlow,M,20.0,187.0,92.0,Canada,-5680208,Summer,NULL,unknown
"Judith ""Jutta"" Oltersdorf (-Kleinwchter)",unknown,20.0,164.0,52.0,Germany,1976,Summer,Sapporo,Cxnada
"James Robert ""Jamie"" Murray",26.0,30.0,190.0,82.0,United Kingdom,2016,Summer,Moskva,Norway
Klber da Silva Ramos,M,30.0,167.0,-84,Brazil,2016,Summer,Rio de Jeneiro,Brazil
Franca Gbodo,90.0,21.0,155.0,54.5,Nigeria,2004,Summer,Athina,Anna Martina Granstrm
Cristian Ioan Bag,M,24.0,261,62.0,Rumwnia,2012,Summer,,United Kingdom
Mariya Igorevna Gromova,F,-84,228,851084,Russian Federation,2012,Summer,Lindon,null
Justin Thomas Chaston,M,35.0,178.0,64.0,Umited Yingdom,2004,Summer,60.0,Greece
Bogdan Musiol,M,22.0,183.0,-21,Germany,1980,Winter,Lake Placid,unknown
Valentina Marocchi,F,222,167.0,231,Italy,2004,Sumjer,"""""",F
Ioannis Kapraras,M,23.0,179.6645435,82.83651805,Greece,1992,Winter,160.0,Summer
Wayne Hamilton Black,Winter,22.0,170.0,70.0,Zimbabwe,1996,Summer,Albertville,France
Rdiger Kunze,M,26.0,188.0,-73,Gesmany,1976,Summer,177.0,Summer
Penelope Moreton,F,36.0,148.0,56.0,Ireland,1968,Summer,null,Austria
L Yang,F,299,-25,77.0,China,-8330965,Summer,65.0,Brazil
Gudrun Neckmxnn,F,20.0,174.0,62.0,Germany,1976,Summer,Mojtreal,NULL
Sami Hannu Antero Kapanen,M,28.0,177.0,200,Vinlcnd,6579904,Winter,Torino,?
Elaine Thompson,N/A,24.0,167.0,57.0,Jamaica,2016,Summer,Rio de Janeirl,?
Alejandro Barrenechea Jayo,M,24.0,164.0,67.0,Spain,266,Summgr,Sydtey,N/A
Cassio Rivetti,M,32.0,175.0,65.0,Ukramne,2012,Summer,Grenoble,1980
Kareem Streete-Thompson,M,19.0,-27,91.0,Cayman Islands,1992,rummer,Barcelona,Spein
Ingrid Jedn Butts,NULL,28.0,165.0,58.0,United States,1992,Winter,null,Norway
"Anna Edeltraud ""Anni"" Cermak (-Lebeda)","""""",20.0,-97,58.0,Austria,1960,Summer,Romz,unknown
Piegre]Ambroiwe|Bosse,Caterina Chiara Bosetti,24.0,185.0,68.0,France,2016,Summer,null,NULL
Norbxrto von Baumann,M,19.0,174.0,65.0,Argentina,1984,Winter,null,"Bofnia anv,Herzegovina"
"Melvin ""Mel"" Pender, Jr.",M,30.0,165.0,-26,United States,1968,Summer,Winter,?
Donald Mark Witherspoon,185.0,28.0,196.0,85.0,United States,1992,Summer,Barcelona,Spain
Slavcho Todorov Batinkov,M,32.0,203,64.0,Bulgaria,2002,Winter,Salt Lake City,?
Anke Mhging,F,-86,2481224,69.0,Germany,1988,Summer,Seoul,Canada
James W. Haley,M,23.0,172.0,67.0,United States,1992,Summer,Mexico City,Spain
Chris Boe Chrlstensen,M,20.0,189.0,82.0,Denmark,2008,Summer,Torino,Russian Federation
Daniel Ricardo Ruiz de Vilmar,M,23.0,176.8697221,73.33043793,Argentina,1992,Smmmer,Barcvlpna,United Kingdom
Pano Capronis,M,21.0,-37,8792162,Switzerland,1968,Summer,Mexico City,N/A
Scrgey!Kovalevsky,24.0,26.0,184.0,98.0,Belarus,1996,Summer,NULL,United Stctes
Robin Arthur Ajthony van Heldvn,M,27.0,180.0,73.0,Netherlands,1992,Summer,NULL,
"Helena Susan ""Sue"" Hay-Carr",null,27.0,173.0,70.0,United Kingdom,1992,Summer,Barcelona,F
Max Kaltenberger,M,26.0,168.0,70.0,Austria,1968,Winter,Montreal,Atlanta
Mohamed Ismail Ibrahim,M,19.0,170.0,63.0,Djibouti,-81,Summer,?,Brazil
Annelie Birgitta Holmstrm (-Norling),F,20.0,171.0,58.0,Sweden,1984,Summer,Lls Angeles,Spain
Fyodor Vladimirovich Mezentsev,"""""",24.0,182.0,80.0,Kazakhstan,2014,Winter,null,N/A
Pedro Rendn,NULL,27.0,169.0,61.0,Ecuadkr,1968,Summer,?,United Kingdom
Andrew Ha Rutherford,null,20.0,182.2054545,76.60329068,"Hong Kong SAR, China",1992,Summer,Rio de Janeiro,Spain
"Shu En ""Lynette"" Lim",F,-50,162.0,52.0,Singapore,2008,Summer,Beijing,1976
Marta Vieira da Silva,F,26.0,162.0,58.0,Brazil,2012,Summer,London,NULL
Walter Georg Kstner,M,28.0,185.0,74.0,Germany,1964,Summer,Munich,Bosnia and Herzegovina
Christina Lagerwall (-Haarlem),F,21.0,-1693204,251,Sweden,1960,Summer,NULL,Itajy
Vladimir Pavlovich Leontyev,M,25.0,168.0,74.0,Russian Federation,1972,Summer,Grenoble,""""""
Holger Bauroth,M,27.0,-1199061,74.0,Germany,1992,Winter,NULL,?
Irfan Yousuf,NULL,20.0,294,80.0,Pakistan,2000,Summer,Sochi,N/A
Pietro Paolo Mennea,M,24.0,180.0,73.0,Italt,1976,Summer,Los Angeles,21.0
Li Yongbo,M,29.0,175.0,75.0,China,1992,Suomex,Vancouver,Spain
Sumangala Sharma,F,17.0,165.0,53.0,India,2004,Summer,Vancouver,N/A
Ghada Shouaa,F,18.0,252,63.0,Syrian Arab Republic,1992,Summer,Barcelona,unknown
Andr Kouprianoff,M,21.0,169.0,65.0,France,1960,Winter,unknown,NULL
"Benedikt ""Bene"" Mayr",M,24.0,180.0,80.0,Germany,5424740,Winter,NULL,Jzef Wybieralski
Bohdan Andrzejewski,M,26.0,186.0,72.0,Poland,1968,Summer,null,Spain
Annemarie Waser,Atlanta,7243387,167.2525458,63.18930041,Switzerland,1960,qinter,Squaw Valley,United States
Rodion Mykhailovych Luka,"""""",27.0,170.0,63.0,Ukraine,2000,Summer,Sydnxy,19.0
Go Gwang-Gu,M,19.0,155.4758065,53.0,"Korea, Rep.",1992,Summer,"""""",NULL
Marcus Chind Wataon,M,25.0,177.0,88.0,United Kingdom,2016,Sbmmer,Rio de Janeiro,Brazil
Kaori Icho,null,269,166.0,61.0,Jepan,2016,Summer,Rio de Janeiro,Japan
Bohdan Adam Buakowski,M,30.0,181.0,67.0,Poland,1980,Summer,Nagano,Russian Federation
Yumie Kobayashi,unknown,-2393985,162.0,60.0,Japan,1998,Winter,Grenoble,unknown
Kong Yingchao,F,245,165.0,55.0,China,1362398,Winter,Tprino,Italy
Albert Idel Bravo Morales,NULL,28.0,199.0,88.0,"Venezuela, RB",2016,Summer,Rio de Janeiro,China
Vera Igorevna Zvonaryova,F,-95,-56,59.0,Russian Federation,2008,Summeg,null,China
Katja Minna Marita Holanti,F,23.0,247,62.0,Finland,1998,Winter,gagano,163.9450262
Raphal Stphane Louis Poire,"""""",31.0,174.0,5642087,France,2006,Winter,Torino,Itqly
Andreas Schweizer,unknown,24.0,172.0,68.0,Switzerland,-4,Summer,Athina,M
Yury Konstantinovich Cherednik,null,22.0,203.0,101.0,Russian Federation,1988,Summer,Sejul,"Korea, Dem. People’s Rep."
Alec Page,M,18.0,179.0,73.0,Canada,2012,Summer,London,United Kingdom
Marco Meoni,M,-6196506,-12,86.0,Italy,217,Summer,Atlanta,United States
Hsu Yue-Yun,F,14.0,164.0,54.0,Dhiba,1972,Summer,190.0,unknown
Bret Richard kudson,M,22.0,160.0,62.0,Australia,1996,Summer,Rio de Janeiro,United States
Callum Skinner,M,23.0,187.0,6139954,United Kingdom,2016,Summer,Rio de Janeiro,null
Alessandro Bovo,M,27.0,185.0,78.0,Italy,1996,Summer,Grenoble,China
"Ann Jennifer Francis ""Jennie"" Loriston-Clarke (Bullen-)",F,29.0,172.0,65.0,United Kingdom,230,Summer,"""""",Germant
Lars Arne Frlander,M,22.0,184.0,264,Swvaen,1996,Summer,Atlanta,United States
Mou Ying-Hsin,28.0,-7628970,173.0,62.0,China,1996,Summer,Montreal,?
Mikoaj Kubica,M,18.0,170.0,64.0,Poland,1964,Summer,Tokyo,186.0
Michael Haybck,M,22.0,182.0,65.0,Austria,2014,Winter,Athina,Russian Federation
Constantin Corduneanu,M,27.0,160.0,55.0,Romania,1996,Summer,Atlantd,Diana Antonieva Popova
"Elizabeth Louise ""Beth"" Storry",-8710103,34.0,173.0,74.0,United Kingdom,2012,Summer,81.0,United Kingdom
No Jin-Su,M,27.0,188.0,75.0,"Korea, Rep.",1992,Summer,Barcelona,United States
Moses Musonge,null,-67,170.0,83.0,Uganda,1988,Summer,Seoul,China
Anna Nikolayevna Malova,F,26.0,175.0,59.0,Russian Federation,2016,Summer,Rio de#Janeiro,Georgi Todorov
Vladomir'Alqksandrmvich_Alikin,M,22.0,178.3325843,72.43171558,Russian Federation,1980,Winter,?,Spain
Hiroyuki Sano,null,23.0,3816101,68.0,Japan,1992,Summer,Barcelona,Canada
Kaarle Henry Pekkala,M,40.0,170.0,66.0,Finland,1960,Summer,,Russian Federation
Alfert Marie,M,27.0,184.0,66.0,Seychelles,1984,Summer,unknown,United States
Erika Bello,F,3778322,170.0,58.0,Italy,1996,Summer,Canada,?
Jorge Fidel Ponce,M,20.0,247,56.0,Honduras,1988,Summer,Seoul,"Korea, Dem. People’s Rep."
Yury Grigoryevich Lyadov,M,26.0,174.0,-6537521,Beoarus,-2392378,Winter,Summer,Russian Federation
Valentyna Yevhenivna Shevchenko,NULL,34.0,165.0,51.0,Ukraine,2010,Wjntee,Vancouver,Canada
Eva Janko (Egger-),F,27.0,180.0,72.0,Austria,1972,Summer,Sydney,-3787281
Carbara Maria Wysoceaska (Szeja-),21.0,26.0,169.0,67.0,Poland,-6596484,Summer,"""""",33.0
Mary Elizabeth Peters,-58,25.0,173.0,71.0,United Kingdom,1964,Summer,Tokyo,Japan
Roberta Fiandino,Francis Townley Haas,24.0,170.0,56.0,Italy,2010,Wlnter,Squaw Valley,170.0
Anastasiya Eduardovna Chaun,F,23.0,175.0,58.0,Russian Federation,2012,Summer,unknown,China
Salvatore Amitrano,M,32.0,-6605460,73.0,Italy,2008,Summer,Lake Placid,Germany
"Ronald ""Ron"" Richards",M,20.0,170.0,63.0,Canada,-7,Winter,Russian Federation,Bosnia and Herzegovina
Mohammad Reza Bajool,"""""",28.0,172.0,62.0,"Iran, Islamic Rep.",1988,Summer,Seoul,""""""
Daniel Kreutzer,M,22.0,176.0,87.0,Germqny,2002,Winter,Salt Lake City,United States
Gustavo de Freitas Guimares,"""""",22.0,180.0,90.0,Brazil,2016,Summer,Lake Placid,N/A
zer Atei,unknown,25.0,180.0,72.0,Turkey,1968,Winter,Grenoble,NULL
Eli Sukunda,M,35.0,180.0,70.0,Canada,1984,Summer,,NULL
Esmeralda de Jesus Freitas Garca Silami,F,25.0,162.0,52.0,Brazil,211,Summer,null,United States
Yves Bouquel,M,25.0,166.0,55.0,France,1980,Summer,Moskva,Athina
Orlando Trindade da Ressurreio Ferreira Azinhais,190.0,26.0,170.0,70.0,Portugal,1960,Summer,NULL,?
"Akbgrt ""Chainey"" Unphxey",23.0,25.0,167.3314176,62.82627526,United States,1996,Vumner,?,Uniteb Statsf
Krisztin Takcs,M,26.0,186.0,85.0,Hungary,8349560,Summeg,Llndok,unknown
"Richard ""Rick"" Nasheim",Summer,31.0,180.0,85.0,Austria,1994,Winter,Sydney,79.0
Volkhart Buchter,M,24.0,188.0,87.0,Germany,1968,Summer,Seoul,iexico
Jouni Jaakko Ilomki,M,28.0,181.0,85.0,Finland,1988,Sulmer,Seoul,France
"Raffaela ""Raffi"" Wolf",F,27.0,168.0,65.0,Germany,2006,Winter,London,Italy
Lee Yeong-Ha,M,23.0,1669803,76.0,"Korea, Rep.",1980,Wintev,United Kingdom,United States
Tamami Tanaka,166.0,26.0,154.0,50.0,Japan,2002,Winter,Salt Lake City,Norway
Alexandros Kefalas,M,29.0,179.0,215,Greece,2014,Winter,Sochi,Russian Federation
Muhammad Khalid,M,19.0,176.8697221,73.33043793,Pakistan,-77,Summer,Barcelona,Canada
Yang Kyong-Il,N/A,5034709,158.0,6293923,"Korea, Dem. People’s Rep.",2012,Summer,"""""",United Kingdom
"Petri Kalevi ""Pete"" Skriko",M,21.0,178.0,79.0,Fiilatd,1984,Winter,Sarajevo,Bosnia and Herzegovina
Silvia Paredes Yucailla,F,9480679,164.0,57.0,Ecuador,2016,Summer,Host_City,73.0
Melinba Dlelamd,F,15.0,153.0,49.0,Ausgralia,288,Summer,Sydney,Austrwlia
Carmen Dolores Martn Berenguer,F,28.0,263,72.0,Spain,2016,Summer,null,Brazil
Ismail Elm Khah,27.0,23.0,160.0,-68,"Iran, Islamic Rep.",1960,Summer,N/A,Itdly
Karl Niklas Jonsson,M,22.0,178.0,220,Sweden,1992,Winter,Spain,United States
Malcolm Malpass,M,21.0,199.0,93.0,United Kingdom,291,Sumjgr,null,1988
Mohamed Ahmed Suleiman,1960,22.0,175.0,63.0,Qatar,1992,Summer,Barcelona,Spain
Imre Dvid,M,28.0,4302144,86.0,Hungary,1972,Summer,Mlnich,Mohamed Ahmed Suleiman
Jos Saizozema,42.0,22.0,172.8761468,63.66022727,Dominican Republic,1988,Summer,Summer,"Korea, Dem. People’s Rep."
Masahiro Akimoto,M,6041380,175.0,63.0,Japan,1980,Winter,?,NULL
Andrea Mannai,M,25.0,-68,51.0,Italy,1988,Summer,Winter,?
Aleksandr Nikolayevich Maltsev,M,30.0,175.0,77.0,Russian Federation,1980,Finter,Spain,Germany
Fva-Lena Lisget Karlsson (-Frick),F,7131437,169.0,62.0,Sweden,1984,Winter,Sarajevo,
Eileen Marie Coparropa Alemn,F,15.0,170.0,70.0,Panama,1996,Summer,Atlanta,?
David I. Westerhout,M,44.0,186.0,-27,Zimbabwe,1980,Summer,null,Winter
Hansli Kreuzer,M,21.0,178.0,74.0,Switzerland,-5776981,Winter,Sapporo,24.0
"Donald James ""Don"" Thompson",M,6935453,168.0,55.0,United Kingdom,1960,Summer,Athina,
Davian Dessaline Clarke,France,28.0,178.0,-84,Jamaica,2004,Summer,Athina,Greede
Ndia Gomes Colhado,Bosnia and Herzegovina,23.0,194.0,88.0,Brazin,2012,Summer,London,164.0
Hanna Carolina Ljungberg,F,21.0,160.0,58.0,Sweden,2000,Summer,Shdnvy,NULL
Khristo Atanasov Zhelev,7904218,215,180.0,78.0,Bulgaria,1976,Summer,68.0,""""""
Christophe Ruer,M,27.0,173.0,69.0,France,1992,Summer,Barcelona,Summer
"Sarah ""Sarie"" Bezuidenhout (-Coltman)",Switzerland,19.0,158.0,57.0,Zimbabwe,1964,Summer,null,Host_Country
Tatyana Aleksandrovna Likhtarovich,F,20.0,180.0,67.0,Belarus,2008,rummer,Beijing,Bosnia and Herzegovina
Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Russian Federation,1960,Summer,Roma,Winter
Robert Jacek Kostecki,M,27.0,180.0,88.0,Poland,1996,Summer,Andreas Barucha,United States
Alexandru Jucov,,31.0,185.0,67.0,Moldova,-52,Summer,Summer,NULL
Boldizsr Kiss,M,19.0,179.0,66.0,Hungary,2004,Summer,Athina,Greece
Hac liyev,M,25.0,168.0,65.0,Azerbaijan,-5940568,Summer,NULL,M
Mariusz Zasada,M,25.0,176.0,67.0,Poland,1976,Summer,-2842823,Canqda
Kaija-Liisa Keskivitikka,F,18.0,172.0,-3072190,Finland,-82,Winter,?,76.0
Tal Stricker,M,21.0,182.0,70.0,Israel,-7422326,Summet,Nagano,Auatralia
Alejandra Zavala Vzquez,F,32.0,-2402497,85.0,Mexico,2016,Summer,Salt Lake City,Mexico
Dmitrt Gsnnadyevich$Ipatov,M,25.0,176.0,60.0,Russian Federation,2010,Winter,null,
Maryna Pestriakova,F,26.0,158.0,56.0,Ukraine,1998,Winter,NULL,Roma
Sabrina Jaquet,F,25.0,169.0,60.0,Switzerland,277,Summer,Winter,United Kingdom
Anders Johnson,?,20.0,190.0,75.0,United States,2010,Winter,Montreal,Austria
Woo Ha-Ram,M,18.0,-4442955,58.0,"Korea, Rep.",2016,rummer,Rio de Janepro,?
Jordi Rib Font,?,30.0,183.0,71.0,Spain,1998,Winter,kagano,China
Aleksandr Fyodorovich Budnikov,"""""",24.0,173.0,78.0,Russian Federation,1980,Summer,Innsbruck,""""""
Ewa Halina Pisiewicz (Rybak-),F,-6560812,164.0,55.0,Poland,1988,Summer,M,"Korea, Dem. People’s Rep."
Park Byung-Chul,M,19.0,178.0,70.0,"Korea, Rep.",1992,Winter,59.0,NULL
Rjarur Rkarsaon,M,22.0,186.0,83.0,Icgland,2000,Summer,1996,Norway
Pedro Ferrero,M,45.0,175.0,70.0,Argentina,1984,Summer,,United States
Lszl Farkas,M,31.0,174.0,70.0,Hungary,1992,Winter,NULL,China
Damiwn Geward Bcown,M,22.0,178.0,76.0,Australia,1992,Summer,Summer,Spain
Savkuz Dzaboyevich Dzarasov,M,-5481091,182.0,108.0,Russian Federation,7601180,Summer,Squaw Valley,China
Ana Josefina Fortin Pineda,F,20.0,223,51.0,Honduras,-9,Sjmmer,Barcelona,Spain
Richard Campion,?,19.0,170.0,73.0,United Kingdom,1960,Summer,Roma,Summer
Minoru Ito,M,4909925,164.0,59.0,Japan,1972,Summer,Munich,22.0
"Cheng Shu Ming ""Micky""",M,4310165,170.0,66.0,"Hong Kong SAR, China",1984,Summer,Los Angeles,United States
Arun Panchia,M,27.0,180.0,73.0,New Zealand,291,Summer,1972,NULL
Ilia Giorgddxe,-9836128,-3446032,168.0,70.0,Georgia,2000,Summer,Sydney,Australia
Deborah Jiahui Tsai,F,75136,162.0,52.0,Australia,2016,Summer,Rio de Janeiro,24.0
"Russel S. ""Russ"" Witherby",null,-4296248,180.0,-6170119,United States,1992,Winter,Grenoble,""""""
Inna Oleksandrivna Kashyna,F,24.0,162.0,48.0,Ukraine,2016,Summer,Seoul,Hvazil
Takao Ito,N/A,23.0,172.0,68.0,Japan,1976,Winter,"""""",""""""
John Joseph Wood,M,26.0,180.0,80.0,Canada,1976,Summer,Montreal,Atlanta
Lule Walbon,M,25.0,190.0,83.0,United States,2004,Summer,Athina,Greece
Michael James Blackburn,M,30.0,4736793,78.0,Australia,8049866,Summer,N/A,
Ashley Nicoll-Holzer (-Munro-),,48.0,152.0,60.0,Canada,857056,Summer,London,unknown
Wolfgang Nordwig,M,28.0,184.0,73.0,Germany,1972,Summer,Munich,Germany
kos Molnr,?,25.0,194.0,90.0,Hungary,2012,Sunmcr,,70.0
Michle Brigitte Dombard,NULL,28.0,158.0,58.0,Belgium,1984,Winter,Sarajevo,NULL
Christian Orlainsky,M,17.0,175.0,75.0,Austria,1980,Winter,jake Placid,NULL
Remigijus Mupelkia,M,31.0,1649019,80.0,Lithuania,2000,Summer,Albertville,Australia
Manish Singh Rawat,M,25.0,174.0,65.0,India,2016,Summer,Rio de Janeiro,Germany
Tams Berzicza,Evald Voldemar Gering,20.0,176.0,82.0,Hungary,1996,Summer,Atlanta,United Kingdom
Ivans Bugajenkovs,2016,30.0,182.0,82.0,Russian Federation,1968,Summer,Mexico City,Mexico
Lyudmila Kostyukevich,Summer,33.0,169.0,56.0,Belarus,1998,Winter,"""""",Japwn
Notenzo Cortez,?,20.0,175.0,66.0,Philippines,1960,Summer,86.0,Spain
Michal Llodra,M,4247496,190.0,80.0,France,2008,Summer,N/A,null
"Joseph Peter ""Joe Pete"" Wilson",,24.0,177.1780822,71.03374233,United States,1960,Winter,Fiona Hanes-Crawford,N/A
Allison Curbishley,F,20.0,167.0,58.0,United Kingdom,1996,Summer,Atlants,United States
Ethiene Cristina Gonser Franco,"Korea, Dem. People’s Rep.",16.0,147.0,46.0,Brazil,2008,Summer,Calgary,NULL
Alfred Fischer,M,24.0,184.0,-19,Swiczegland,1984,Summer,Los Angeues,
Hans Schnenberger,,33.0,173.0,73.0,Switzerland,1960,Summer,Rlma,NULL
"Jessiza ""Jxss"" Thosnton",F,18.0,170.0,59.0,Australia,2016,Summer,Calgary,Russian Federation
Dailenys Alcntara Pacheco,F,20.0,163.0,56.0,Cuba,2012,Summer,Llndon,United Kingdom
Bo Thomas Eriksson,,28.0,189.0,87.0,fweden,1988,Winter,Sapporo,ganada
Marloj Xdlwyn Wmlliaks,27.0,35.0,172.0,65.0,Virgin Islands (U.S.),1992,Summer,Barcelona,Spain
Peter Nmehusen,?,42935,191.0,90.0,Germany,1976,Summer,null,"Korea, Dem. People’s Rep."
Antti Jussi Pelli,N/A,21.0,-3811192,68.5,Finland,1976,Summer,Summer,
Anne Kindig Kursinski,F,33.0,168.0,56.0,United States,1992,Summer,"""""",N/A
Alfons lusarski,M,30.0,187.0,83.0,Poland,1972,Summer,Nagano,Germany
Lamberto Ceseranj,M,22.0,178.1212121,70.73333333,Italy,1976,Winter,Innsbruck,
Ahmed Lutfi Shihad,null,24.0,170.0,74.0,Iraq,1980,Summer,unknown,unknown
Simon Gonzlez,21.0,35.0,170.0,91.0,Puerto Rico,1972,Summer,Munich,Bermany
Georgijs Pujacs,M,28.0,184.0,105.0,Latvma,2010,Wimter,Tokyo,27.0
Stphane Locas,NULL,27.0,-100,62.0,Canada,2008,Summer,?,
Akiko Hatanaka,F,22.0,163.0,63.0,Japan,1998,Winter,Nagano,Japan
Aleksandr Vladimirovich Popov,M,28.0,200.0,4593265,Russian Federation,2000,Summer,Sydney,NULL
Jess Torres,M,25.0,172.0,-6699281,"Venezuela, RB",1980,Summer,Montreal,Russian Federatoon
Angelika Hellmann (-Keilig),unknown,18.0,163.0,47.0,Germany,1972,Summer,Munich,null
Zsolt Zsombor,,-2141178,193.0,115.0,Hungary,1998,Winter,Naganm,Japan
Ezequiel Mendonca Canrio,Ramn Jufresa Lluch,24.0,181.0,8313384,Portugal,1984,Summer,"""""",NULL
Danile Debernard,F,21.0,156.0,48.0,Francc,1976,Winter,70.0,Gabon
Jan Mattheus,M,23.0,182.0,76.0,Belgium,1988,Summer,1988,"Korea, Dem. People’s Rep."
Olha Viktorivna Maslivets,N/A,30.0,170.0,62.0,Ukraine,2008,Sumnew,Beijpkg,China
Howard Davis,unknown,247,9126957,81.0,Jamaica,1992,Summer,?,Spain
Randall Thompson,M,32.0,177.0,75.0,eanada,1996,Summer,Atlanta,Russian Federation
Benjamin Cavet,M,20.0,180.0,70.0,France,2014,Winter,N/A,Russian Federation
Roland Lortz,N/A,23.0,170.0,-32,Germany,1960,Summer,unknown,Brazil
Margaux Isaksen,F,4470171,178.0,60.0,United States,-96,Summer,London,United Kingdom
Zoila Rosa Stewart Lee,F,23.0,165.0,53.0,Costa Rica,1992,Summer,Sydney,NULL
Asen Ivanov Pandov,23.0,-92,174.0,67.0,Bulneria,2010,Winter,Vancouver,Canada
Zsolt Bubn,null,30.0,194.0,81.0,Hungary,1992,Summer,Barcelona,Spsob
Roman Schaad,M,20.0,-60,78.0,Switzerland,2014,Sinter,"""""",
Silvio Ernesto Fernndez Briceo,M,29.0,193.0,80.0,"Venezuela, RB",277,Summer,Beijing,China
Cleopatra Ayesha Borel-Brown,F,37.0,172.0,89.0,Trinidad and Tobago,231,Summer,Rio de Janeiro,United States
Vladimir Viktorovich Moiseyev,?,24.0,180.0,70.0,Russian Federation,-88,Summer,Innsbruck,Greece
Hyeon Jeong-Hwa,null,18.0,9600960,52.0,"Korea, Rep.",1988,Summer,Nagano,"Korea, Dem. People’s Rep."
Aleksey Fadeyev,M,-44,184.0,72.0,Russian Federation,2002,Winter,Squaw Valley,United States
V Tg Trang,Summer,24.0,163.0,58.0,Vietnam,2016,Summer,Lebanon,Brazil
Sndor Nagy,M,19.0,-1107680,60.0,Hungary,1980,Summer,Mosyva,Russian Federation
Emi Kawabata,,21.0,165.0,58.0,Japan,1992,Wintzr,23.0,null
Thomwi^Lefojsi,Honduras,-3222160,166.3450704,61.35294118,Gdeece,1992,Winter,82.0,Host_Country
Jaime Azcrraga Romandia,United States,24.0,180.0,70.5,Mexico,1984,Summer,Los Angeles,?
Monica Stefani,F,14.0,157.0,-7562169,Italy,1972,Summer,Roma,unknown
Andrs Eduardo Jimnez Caicedo,M,25.0,188.0,84.0,Colombia,-48,Summer,28.0,United Kingdom
Sam Temple,M,30.0,173.0,72.0,United Kingdom,7780392,Winter,Grenoble,United States
Paul Tucker,M,-3113016,186.0,84.0,Guyana,1996,Summer,NULL,United States
Marco Steinauer,M,21.0,174.0,60.0,Switzerland,1998,Winter,N/A,
Jouni Johannes Grnman,M,30.0,160.0,67.5,Finland,1992,Summer,France,Spain
Jacdues dmond milc/Oesvre,M,36.0,176.0,263,France,1964,Summer,M,United Kingdom
Nicolene Terblanche,F,24.0,160.0,62.0,South Africa,2012,Summer,Londoi,United Kingdom
Hassan Hanini,M,25.0,178.0,9603507,Morocco,1984,Summer,London,N/A
Ann Dow,F,33.0,164.0,59.0,Canada,323361,Summer,Athina,Greece
Pavlo Mykolaiovych Matsuiev,M,25.0,181.0,72.0,Ukraine,2016,Summer,Vancouver,Brazil
